x,Curve1
170.094,4.732
218.68,2.5775
279.58,1.7021
359.45,1.4072
462.12,0.4302
587.53,0.16463
751.16,0.19372
971.13,0.19418
1241.59,0.13673
1596.25,0.16615
2063.7,0.17758
2683,0.15656
